method,damping,step,time,position_error,orientation_error,max_dq,condition_number,clipped
dls,0.0001,119,0.238,0.00650601,0.0128899,0.0103375,12.6355,0
dls,0.0001,120,0.24,0.00652256,0.0129146,0.0104052,12.6363,0
dls,0.0001,121,0.242,0.00653888,0.0129388,0.0104727,12.6372,0
dls,0.0001,122,0.244,0.00655498,0.0129625,0.0105401,12.638,0
dls,0.0001,123,0.246,0.00657085,0.0129856,0.0106074,12.6389,0
dls,0.0001,124,0.248,0.00658651,0.0130083,0.0106745,12.6398,0
dls,0.0001,125,0.25,0.00660196,0.0130305,0.0107415,12.6407,0
dls,0.0001,126,0.252,0.0066172,0.0130522,0.0108084,12.6417,0
dls,0.0001,127,0.254,0.00663224,0.0130734,0.0108752,12.6426,0
dls,0.0001,128,0.256,0.00664708,0.0130942,0.0109419,12.6436,0
dls,0.0001,129,0.258,0.00666173,0.0131145,0.0110084,12.6445,0
dls,0.0001,130,0.26,0.0066762,0.0131344,0.0110749,12.6455,0
dls,0.0001,131,0.262,0.00669048,0.0131539,0.0111412,12.6465,0
dls,0.0001,132,0.264,0.00670458,0.013173,0.0112074,12.6475,0
dls,0.0001,133,0.266,0.00671851,0.0131916,0.0112736,12.6486,0
dls,0.0001,134,0.268,0.00673227,0.0132099,0.0113396,12.6496,0
dls,0.0001,135,0.27,0.00674587,0.0132277,0.0114055,12.6507,0
dls,0.0001,136,0.272,0.0067593,0.0132452,0.0114713,12.6517,0
dls,0.0001,137,0.274,0.00677258,0.0132623,0.011537,12.6528,0
dls,0.0001,138,0.276,0.0067857,0.0132791,0.0116027,12.6539,0
dls,0.0001,139,0.278,0.00679867,0.0132955,0.0116682,12.655,0
dls,0.0001,140,0.28,0.00681149,0.0133115,0.0117336,12.6561,0
dls,0.0001,141,0.282,0.00682418,0.0133272,0.011799,12.6573,0
dls,0.0001,142,0.284,0.00683672,0.0133426,0.0118642,12.6584,0
dls,0.0001,143,0.286,0.00684912,0.0133576,0.0119294,12.6596,0
dls,0.0001,144,0.288,0.0068614,0.0133723,0.0119945,12.6608,0
dls,0.0001,145,0.29,0.00687354,0.0133867,0.0120595,12.662,0
dls,0.0001,146,0.292,0.00688555,0.0134009,0.0121244,12.6632,0
dls,0.0001,147,0.294,0.00689745,0.0134147,0.0121893,12.6644,0
dls,0.0001,148,0.296,0.00690922,0.0134282,0.012254,12.6657,0
dls,0.0001,149,0.298,0.00692087,0.0134414,0.0123187,12.6669,0
dls,0.0001,150,0.3,0.00693241,0.0134544,0.0123833,12.6682,0
dls,0.0001,151,0.302,0.00694384,0.0134671,0.0124479,12.6695,0
dls,0.0001,152,0.304,0.00695516,0.0134795,0.0125123,12.6708,0
dls,0.0001,153,0.306,0.00696637,0.0134916,0.0125767,12.6721,0
dls,0.0001,154,0.308,0.00697748,0.0135035,0.012641,12.6734,0
dls,0.0001,155,0.31,0.00698849,0.0135152,0.0127053,12.6748,0
dls,0.0001,156,0.312,0.0069994,0.0135266,0.0127695,12.6761,0
dls,0.0001,157,0.314,0.00701021,0.0135378,0.0128336,12.6775,0
dls,0.0001,158,0.316,0.00702093,0.0135487,0.0128976,12.6789,0
dls,0.0001,159,0.318,0.00703156,0.0135594,0.0129616,12.6803,0
dls,0.0001,160,0.32,0.0070421,0.0135699,0.0130255,12.6817,0
dls,0.0001,161,0.322,0.00705255,0.0135802,0.0130894,12.6831,0
dls,0.0001,162,0.324,0.00706292,0.0135902,0.0131532,12.6846,0
dls,0.0001,163,0.326,0.0070732,0.0136001,0.0132169,12.686,0
dls,0.0001,164,0.328,0.0070834,0.0136097,0.0132806,12.6875,0
dls,0.0001,165,0.33,0.00709353,0.0136192,0.0133442,12.689,0
dls,0.0001,166,0.332,0.00710358,0.0136285,0.0134078,12.6905,0
dls,0.0001,167,0.334,0.00711355,0.0136375,0.0134713,12.692,0
dls,0.0001,168,0.336,0.00712345,0.0136464,0.0135347,12.6935,0
dls,0.0001,169,0.338,0.00713328,0.0136551,0.0135981,12.695,0
dls,0.0001,170,0.34,0.00714304,0.0136636,0.0136615,12.6966,0
dls,0.0001,171,0.342,0.00715274,0.013672,0.0137248,12.6982,0
dls,0.0001,172,0.344,0.00716236,0.0136802,0.013788,12.6997,0
dls,0.0001,173,0.346,0.00717193,0.0136882,0.0138512,12.7013,0
dls,0.0001,174,0.348,0.00718143,0.013696,0.0139143,12.7029,0
dls,0.0001,175,0.35,0.00719087,0.0137037,0.0139774,12.7046,0
dls,0.0001,176,0.352,0.00720025,0.0137113,0.0140404,12.7062,0
dls,0.0001,177,0.354,0.00720958,0.0137186,0.0141034,12.7079,0
dls,0.0001,178,0.356,0.00721885,0.0137259,0.0141664,12.7095,0
dls,0.0001,179,0.358,0.00722806,0.013733,0.0142292,12.7112,0
dls,0.0001,180,0.36,0.00723722,0.0137399,0.0142921,12.7129,0
dls,0.0001,181,0.362,0.00724633,0.0137468,0.0143549,12.7146,0
dls,0.0001,182,0.364,0.00725539,0.0137534,0.0144176,12.7163,0
dls,0.0001,183,0.366,0.0072644,0.01376,0.0144804,12.7181,0
dls,0.0001,184,0.368,0.00727336,0.0137664,0.014543,12.7198,0
dls,0.0001,185,0.37,0.00728228,0.0137727,0.0146057,12.7216,0
dls,0.0001,186,0.372,0.00729115,0.0137789,0.0146682,12.7234,0
dls,0.0001,187,0.374,0.00729998,0.0137849,0.0147308,12.7251,0
dls,0.0001,188,0.376,0.00730876,0.0137909,0.0147933,12.727,0
dls,0.0001,189,0.378,0.0073175,0.0137967,0.0148557,12.7288,0
dls,0.0001,190,0.38,0.0073262,0.0138024,0.0149182,12.7306,0
dls,0.0001,191,0.382,0.00733486,0.013808,0.0149805,12.7325,0
dls,0.0001,192,0.384,0.00734349,0.0138135,0.0150429,12.7343,0
dls,0.0001,193,0.386,0.00735207,0.0138188,0.0151052,12.7362,0
dls,0.0001,194,0.388,0.00736062,0.0138241,0.0151674,12.7381,0
dls,0.0001,195,0.39,0.00736913,0.0138293,0.0152297,12.74,0
dls,0.0001,196,0.392,0.00737761,0.0138344,0.0152919,12.7419,0
dls,0.0001,197,0.394,0.00738606,0.0138394,0.015354,12.7438,0
dls,0.0001,198,0.396,0.00739447,0.0138443,0.0154161,12.7458,0
dls,0.0001,199,0.398,0.00740285,0.0138491,0.0154782,12.7478,0
dls,0.0001,200,0.4,0.0074112,0.0138538,0.0155403,12.7497,0
dls,0.0001,201,0.402,0.00741952,0.0138584,0.0156023,12.7517,0
dls,0.0001,202,0.404,0.00742781,0.013863,0.0156643,12.7537,0
dls,0.0001,203,0.406,0.00743608,0.0138674,0.0157262,12.7557,0
dls,0.0001,204,0.408,0.00744431,0.0138718,0.0157881,12.7578,0
dls,0.0001,205,0.41,0.00745252,0.0138761,0.01585,12.7598,0
dls,0.0001,206,0.412,0.0074607,0.0138803,0.0159118,12.7619,0
dls,0.0001,207,0.414,0.00746886,0.0138845,0.0159736,12.764,0
dls,0.0001,208,0.416,0.00747699,0.0138885,0.0160354,12.766,0
dls,0.0001,209,0.418,0.0074851,0.0138925,0.0160972,12.7681,0
dls,0.0001,210,0.42,0.00749319,0.0138965,0.0161589,12.7703,0
dls,0.0001,211,0.422,0.00750125,0.0139003,0.0162206,12.7724,0
dls,0.0001,212,0.424,0.00750929,0.0139041,0.0162822,12.7745,0
dls,0.0001,213,0.426,0.00751731,0.0139079,0.0163439,12.7767,0
dls,0.0001,214,0.428,0.00752531,0.0139115,0.0164054,12.7789,0
dls,0.0001,215,0.43,0.00753329,0.0139151,0.016467,12.7811,0
dls,0.0001,216,0.432,0.00754125,0.0139187,0.0165285,12.7833,0
dls,0.0001,217,0.434,0.00754919,0.0139221,0.0165901,12.7855,0
dls,0.0001,218,0.436,0.00755712,0.0139256,0.0166515,12.7877,0
dls,0.0001,219,0.438,0.00756502,0.0139289,0.016713,12.79,0
dls,0.0001,220,0.44,0.00757291,0.0139322,0.0167744,12.7922,0
dls,0.0001,221,0.442,0.00758078,0.0139355,0.0168358,12.7945,0
dls,0.0001,222,0.444,0.00758863,0.0139387,0.0168972,12.7968,0
dls,0.0001,223,0.446,0.00759647,0.0139418,0.0169585,12.7991,0
dls,0.0001,224,0.448,0.0076043,0.0139449,0.0170198,12.8014,0
dls,0.0001,225,0.45,0.0076121,0.013948,0.0170811,12.8037,0
dls,0.0001,226,0.452,0.0076199,0.013951,0.0171423,12.8061,0
dls,0.0001,227,0.454,0.00762768,0.0139539,0.0172036,12.8084,0
dls,0.0001,228,0.456,0.00763545,0.0139568,0.0172648,12.8108,0
dls,0.0001,229,0.458,0.0076432,0.0139597,0.0173259,12.8132,0
dls,0.0001,230,0.46,0.00765094,0.0139625,0.0173871,12.8156,0
dls,0.0001,231,0.462,0.00765867,0.0139653,0.0174482,12.818,0
dls,0.0001,232,0.464,0.00766638,0.013968,0.0175093,12.8205,0
dls,0.0001,233,0.466,0.00767409,0.0139707,0.0175704,12.8229,0
dls,0.0001,234,0.468,0.00768178,0.0139734,0.0176314,12.8254,0
dls,0.0001,235,0.47,0.00768946,0.013976,0.0176924,12.8278,0
dls,0.0001,236,0.472,0.00769714,0.0139786,0.0177534,12.8303,0
dls,0.0001,237,0.474,0.0077048,0.0139811,0.0178144,12.8328,0
dls,0.0001,238,0.476,0.00771245,0.0139836,0.0178753,12.8354,0
dls,0.0001,239,0.478,0.00772009,0.0139861,0.0179362,12.8379,0
dls,0.0001,240,0.48,0.00772772,0.0139885,0.0179971,12.8404,0
dls,0.0001,241,0.482,0.00773535,0.0139909,0.018058,12.843,0
dls,0.0001,242,0.484,0.00774296,0.0139933,0.0181188,12.8456,0
dls,0.0001,243,0.486,0.00775057,0.0139956,0.0181796,12.8482,0
dls,0.0001,244,0.488,0.00775817,0.013998,0.0182404,12.8508,0
dls,0.0001,245,0.49,0.00776576,0.0140002,0.0183012,12.8534,0
dls,0.0001,246,0.492,0.00777334,0.0140025,0.018362,12.856,0
dls,0.0001,247,0.494,0.00778091,0.0140047,0.0184227,12.8587,0
dls,0.0001,248,0.496,0.00778848,0.0140069,0.0184834,12.8613,0
dls,0.0001,249,0.498,0.00779604,0.0140091,0.0185441,12.864,0
dls,0.0001,250,0.5,0.0078036,0.0140112,0.0186047,12.8667,0
dls,0.0001,251,0.502,0.00781114,0.0140133,0.0186653,12.8694,0
dls,0.0001,252,0.504,0.00781868,0.0140154,0.0187259,12.8721,0
dls,0.0001,253,0.506,0.00782622,0.0140175,0.0187865,12.8749,0
dls,0.0001,254,0.508,0.00783375,0.0140195,0.0188471,12.8776,0
dls,0.0001,255,0.51,0.00784127,0.0140215,0.0189076,12.8804,0
dls,0.0001,256,0.512,0.00784879,0.0140235,0.0189681,12.8832,0
dls,0.0001,257,0.514,0.0078563,0.0140255,0.0190286,12.886,0
dls,0.0001,258,0.516,0.0078638,0.0140274,0.0190891,12.8888,0
dls,0.0001,259,0.518,0.00787131,0.0140294,0.0191495,12.8916,0
dls,0.0001,260,0.52,0.0078788,0.0140313,0.0192099,12.8945,0
dls,0.0001,261,0.522,0.00788629,0.0140332,0.0192703,12.8973,0
dls,0.0001,262,0.524,0.00789378,0.0140351,0.0193307,12.9002,0
dls,0.0001,263,0.526,0.00790126,0.0140369,0.0193911,12.9031,0
dls,0.0001,264,0.528,0.00790874,0.0140387,0.0194514,12.906,0
dls,0.0001,265,0.53,0.00791622,0.0140406,0.0195117,12.9089,0
dls,0.0001,266,0.532,0.00792368,0.0140424,0.019572,12.9118,0
dls,0.0001,267,0.534,0.00793115,0.0140441,0.0196322,12.9148,0
dls,0.0001,268,0.536,0.00793861,0.0140459,0.0196925,12.9177,0
dls,0.0001,269,0.538,0.00794607,0.0140477,0.0197527,12.9207,0
dls,0.0001,270,0.54,0.00795352,0.0140494,0.0198129,12.9237,0
dls,0.0001,271,0.542,0.00796098,0.0140511,0.0198731,12.9267,0
dls,0.0001,272,0.544,0.00796842,0.0140528,0.0199332,12.9297,0
dls,0.0001,273,0.546,0.00797587,0.0140545,0.0199933,12.9328,0
dls,0.0001,274,0.548,0.00798331,0.0140562,0.0200534,12.9358,0
dls,0.0001,275,0.55,0.00799075,0.0140578,0.0201135,12.9389,0
dls,0.0001,276,0.552,0.00799818,0.0140595,0.0201736,12.942,0
dls,0.0001,277,0.554,0.00800561,0.0140611,0.0202336,12.9451,0
dls,0.0001,278,0.556,0.00801304,0.0140628,0.0202937,12.9482,0
dls,0.0001,279,0.558,0.00802047,0.0140644,0.0203537,12.9513,0
dls,0.0001,280,0.56,0.00802789,0.014066,0.0204136,12.9544,0
dls,0.0001,281,0.562,0.00803531,0.0140676,0.0204736,12.9576,0
dls,0.0001,282,0.564,0.00804273,0.0140692,0.0205335,12.9608,0
dls,0.0001,283,0.566,0.00805014,0.0140707,0.0205934,12.9639,0
dls,0.0001,284,0.568,0.00805755,0.0140723,0.0206533,12.9671,0
dls,0.0001,285,0.57,0.00806496,0.0140738,0.0207132,12.9704,0
dls,0.0001,286,0.572,0.00807237,0.0140754,0.020773,12.9736,0
dls,0.0001,287,0.574,0.00807977,0.0140769,0.0208328,12.9768,0
dls,0.0001,288,0.576,0.00808718,0.0140784,0.0208926,12.9801,0
dls,0.0001,289,0.578,0.00809458,0.01408,0.0209524,12.9834,0
dls,0.0001,290,0.58,0.00810197,0.0140815,0.0210122,12.9867,0
dls,0.0001,291,0.582,0.00810937,0.014083,0.0210719,12.99,0
dls,0.0001,292,0.584,0.00811676,0.0140845,0.0211316,12.9933,0
dls,0.0001,293,0.586,0.00812415,0.0140859,0.0211913,12.9966,0
dls,0.0001,294,0.588,0.00813154,0.0140874,0.021251,13.0,0
dls,0.0001,295,0.59,0.00813893,0.0140889,0.0213106,13.0034,0
dls,0.0001,296,0.592,0.00814631,0.0140904,0.0213702,13.0068,0
dls,0.0001,297,0.594,0.0081537,0.0140918,0.0214298,13.0102,0
dls,0.0001,298,0.596,0.00816108,0.0140933,0.0214894,13.0136,0
dls,0.0001,299,0.598,0.00816845,0.0140947,0.021549,13.017,0
dls,0.0001,300,0.6,0.00817583,0.0140961,0.0216085,13.0205,0
dls,0.0001,301,0.602,0.0081832,0.0140976,0.021668,13.0239,0
dls,0.0001,302,0.604,0.00819058,0.014099,0.0217275,13.0274,0
dls,0.0001,303,0.606,0.00819795,0.0141004,0.021787,13.0309,0
dls,0.0001,304,0.608,0.00820531,0.0141018,0.0218464,13.0344,0
dls,0.0001,305,0.61,0.00821268,0.0141033,0.0219059,13.0379,0
dls,0.0001,306,0.612,0.00822004,0.0141047,0.0219653,13.0415,0
dls,0.0001,307,0.614,0.00822741,0.0141061,0.0220246,13.045,0
dls,0.0001,308,0.616,0.00823477,0.0141075,0.022084,13.0486,0
dls,0.0001,309,0.618,0.00824212,0.0141089,0.0221433,13.0522,0
dls,0.0001,310,0.62,0.00824948,0.0141103,0.0222027,13.0558,0
dls,0.0001,311,0.622,0.00825683,0.0141117,0.022262,13.0594,0
dls,0.0001,312,0.624,0.00826418,0.014113,0.0223212,13.0631,0
dls,0.0001,313,0.626,0.00827153,0.0141144,0.0223805,13.0667,0
dls,0.0001,314,0.628,0.00827888,0.0141158,0.0224397,13.0704,0
dls,0.0001,315,0.63,0.00828623,0.0141172,0.0224989,13.0741,0
dls,0.0001,316,0.632,0.00829357,0.0141186,0.0225581,13.0778,0
dls,0.0001,317,0.634,0.00830091,0.0141199,0.0226172,13.0815,0
dls,0.0001,318,0.636,0.00830825,0.0141213,0.0226764,13.0852,0
dls,0.0001,319,0.638,0.00831559,0.0141227,0.0227355,13.0889,0
dls,0.0001,320,0.64,0.00832292,0.014124,0.0227946,13.0927,0
dls,0.0001,321,0.642,0.00833025,0.0141254,0.0228537,13.0965,0
dls,0.0001,322,0.644,0.00833758,0.0141267,0.0229127,13.1003,0
dls,0.0001,323,0.646,0.00834491,0.0141281,0.0229717,13.1041,0
dls,0.0001,324,0.648,0.00835224,0.0141295,0.0230307,13.1079,0
dls,0.0001,325,0.65,0.00835956,0.0141308,0.0230897,13.1118,0
dls,0.0001,326,0.652,0.00836688,0.0141322,0.0231487,13.1156,0
dls,0.0001,327,0.654,0.0083742,0.0141335,0.0232076,13.1195,0
dls,0.0001,328,0.656,0.00838152,0.0141349,0.0232665,13.1234,0
dls,0.0001,329,0.658,0.00838883,0.0141362,0.0233254,13.1273,0
dls,0.0001,330,0.66,0.00839614,0.0141376,0.0233843,13.1312,0
dls,0.0001,331,0.662,0.00840345,0.0141389,0.0234431,13.1352,0
dls,0.0001,332,0.664,0.00841075,0.0141403,0.0235019,13.1391,0
dls,0.0001,333,0.666,0.00841806,0.0141416,0.0235607,13.1431,0
dls,0.0001,334,0.668,0.00842536,0.014143,0.0236195,13.1471,0
dls,0.0001,335,0.67,0.00843266,0.0141443,0.0236783,13.1511,0
dls,0.0001,336,0.672,0.00843995,0.0141457,0.023737,13.1551,0
dls,0.0001,337,0.674,0.00844725,0.014147,0.0237957,13.1592,0
dls,0.0001,338,0.676,0.00845454,0.0141484,0.0238544,13.1632,0
dls,0.0001,339,0.678,0.00846182,0.0141497,0.0239131,13.1673,0
dls,0.0001,340,0.68,0.00846911,0.014151,0.0239717,13.1714,0
dls,0.0001,341,0.682,0.00847639,0.0141524,0.0240303,13.1755,0
dls,0.0001,342,0.684,0.00848367,0.0141537,0.0240889,13.1796,0
dls,0.0001,343,0.686,0.00849094,0.0141551,0.0241475,13.1837,0
dls,0.0001,344,0.688,0.00849822,0.0141564,0.024206,13.1879,0
dls,0.0001,345,0.69,0.00850549,0.0141578,0.0242645,13.1921,0
dls,0.0001,346,0.692,0.00851275,0.0141591,0.024323,13.1962,0
dls,0.0001,347,0.694,0.00852002,0.0141605,0.0243815,13.2004,0
dls,0.0001,348,0.696,0.00852728,0.0141618,0.02444,13.2047,0
dls,0.0001,349,0.698,0.00853453,0.0141632,0.0244984,13.2089,0
dls,0.0001,350,0.7,0.00854179,0.0141645,0.0245568,13.2132,0
dls,0.0001,351,0.702,0.00854904,0.0141659,0.0246152,13.2174,0
dls,0.0001,352,0.704,0.00855628,0.0141672,0.0246735,13.2217,0
dls,0.0001,353,0.706,0.00856353,0.0141686,0.0247318,13.226,0
dls,0.0001,354,0.708,0.00857077,0.01417,0.0247902,13.2303,0
dls,0.0001,355,0.71,0.008578,0.0141713,0.0248484,13.2347,0
dls,0.0001,356,0.712,0.00858524,0.0141727,0.0249067,13.239,0
dls,0.0001,357,0.714,0.00859247,0.014174,0.0249649,13.2434,0
dls,0.0001,358,0.716,0.00859969,0.0141754,0.0250231,13.2478,0
